word,spell,type,meaning
"เฟรดเดอริก นูแมนหัวหน้าทีมวิจัยของธนาคารเอชเอสบีซี ในฮ่องกง เชื่อว่ามาตรการกระตุ้น 115,000 ล้านดอลล่าร์ของญี่ปุ่นจะส่งผลให้เกิดกระแสเงินทุนถูก ไหลเข้าไปอยู่ในมือของบริษัทและธนาคารของญี่ปุ่น",fraehtF duuhrM rikH nuuM maaenM huaaR naaF theemM wiH jaiM khaawngR thaH naaM khaanM aehtL aehtL beeM seeM naiM haawngF gohngM cheuuaF waaF maatF dtraL gaanM graL dtoonF laanH daawnM laaF khaawngR yeeF bpoonL jaL sohngL phohnR haiF geertL graL saaeR ngernM thoonM thuukL laiR khaoF bpaiM yuuL naiM meuuM khaawngR baawM riH satL laeH thaH naaM khaanM khaawngR yeeF bpoonL,example sentence,"Frederic Neumann, head of the research team at HSBC in Hong Kong, believes that Japan’s 115 billion dollar stimulus program will cause a wave of cheap capital to flow into the hands of Japanese companies and banks..."
เฟร็ดเดอริค,fretH duuhrM rikH,"proper noun, loanword, English",Frederick [a German given name]
เฟรนช์,fraehnM,"adjective, loanword, English",[Thai transcription of the foreign loanword] French
เฟรนช์ฮอร์น ,fraehnM haawnM,"noun, loanword, English","[Thai transcription of the foreign loanword, ""french horn""]"
เฟรนช์ฟรายส์,fraehnM fraaiM,"noun, loanword",[Thai transcription of the foreign loanword] french fry; fench fries
เฟรม ,fraehmM,"noun, loanword, English",[Thai transcription of the foreign loanword] frame
"classifier, English","[numerical classifier for ""frames"" of billiards or bowling]",,
เฟลิกซ์,faehM likH,"proper noun, loanword, English",Felix [an English given name]
เฟลิซิตี้,faehM liH siH dteeF,"proper noun, loanword, English",Felicity [an English given name]
เฟส ,faehtF,"noun, loanword, English",[Thai transcription of the foreign loanword] phase
เฟสบุ๊ก,faehtF bookH,,[alternate spelling of เฟซบุ๊ก]
เฟสบุ๊ค,faehtF bookH,,[alternate spelling of เฟซบุ๊ก]
เฟ้อ,fuuhrH,verb,to inflate; become full of gas
adjective,excessive; extravagant,,
เฟอร์,fuuhrM,"noun, adjective",[general] fir
noun,"[Thai transcription of foreign loan word] ""furn."", a contraction of ""furniture""",,
เฟอร์นันโด้,fuuhrM nanM do:hF,"proper noun, loanword, English",Fernando [a Spanish given name]
เฟอร์นิเจอร์,fuuhrM niH juuhrM,"noun, loanword, English",[Thai transcription of the foreign loanword] furniture
เฟอร์นิเจอร์ที่ผลิตโดยโรงงานขนาดเล็ก ๆ ในประเทศไทยจำนวนมาก หยุดการผลิตไปแล้วเพราะไม่สามารถแข่งขันราคาได้,fuuhrM niH juuhrM theeF phaL litL dooyM ro:hngM ngaanM khaL naatL lekH lekH naiM bpraL thaehtF thaiM jamM nuaanM maakF yootL gaanM phaL litL bpaiM laaeoH phrawH maiF saaR maatF khaengL khanR raaM khaaM daiF,example sentence,"""Many furniture manufacturers in Thailand have ceased production because they are not price competitive."""
เฟอร์รี,fuuhrM reeM,noun,[Thai transcription of English word] ferry; ferry boat
เฟอร์รี่,fuuhrM reeF,,[alternate spelling of เฟอร์รี]
เฟอะ,fuhH,adjective,[is] oozing; rotten; muddy; putrid; decomposed
เฟะ,fehH,,[alternate spelling of เฟอะ]
เฟิน,feernM,noun,[ต้นเฟิน] [Thai transcription of the foreign loanword] fern
เฟิร์น,feernM,"proper noun, loanword, English",[Thai transcription of the foreign loanword] fern
เฟิสต์,feertF,"adjective, loanword, English",[Thai transcription of the foreign loanword] first
เฟี้ยม,fiiamH,noun,wooden partition
noun,folding doors; concertina doors; a series of hinged panels forming a partition or a shop facade that can be folded back to make a wide passageway.,,
เฟี้ยว,fiaaoH,adjective,[is] magnificent
เฟือ,feuuaM,adjective,[is] excessive; is left over; is in excess
เฟือง ,feuuangM,noun,gear
เฟืองเดือยหมู,feuuangM deuuayM muuR,noun,bevel gear box [as in a differential]
เฟืองตัวตัวหนอน,feuuangM dtuaaM dtuaaM naawnR,noun,worm gear
เฟืองท้าย,feuuangM thaaiH,noun,differential
เฟืองบายศรี,feuuangM baaiM seeR,noun,ring gear
เฟืองวงแหวน,feuuangM wohngM waaenR,noun,ring gear
เฟื่อง ,feuuangF,"adjective, colloquial","[is] diffused, widespread or disseminated; [is] prosperous; [is] blooming"
verb,to flourish; to bloom; to prosper,,
adjective,[is] intelligent but nerdy,,
noun,festoon; pennant,,
เฟื้อง,feuuangH,noun,an obsolete coin equivalent to about twelve satangs
เฟื่องฟู,feuuangF fuuM,adjective,[is] booming; thriving; prosperous; flourishing
เฟื้อย,feuuayH,adjective,[is] long and flowing
แฟ่,faaeF,adjective,[is] flashy; luxurious; smart-looking
onomatopoeia,[sound of a match burning],,
แฟกซ์,faaekF,,[alternate spelling of แฟ็กซ์ ]
แฟ็กซ์ ,faekH,"noun, loanword, English",[Thai transcription of the foreign loanword] fax; a printed facsimile; fax message; fax document
แฟง,faaengM,noun,"[ต้นแฟง] the vegetable marrow, Cucurbita pepo"
แฟชั่น ,faaeM chanF,"noun, loanword, English",[Thai transcription of the foreign loanword] fashion; the trends in design
แฟด,faaetF,,[an euphonious suffix to ฟอดแฟด]
แฟน ,faaenM,"noun, loanword",boyfriend; girlfriend; lover
"noun, loanword, English","[Thai transcription of the foreign loanword] fan; supporter (of, for example, a sports team)",,
แฟนเก่า ,faaenM gaoL,"noun, phrase, colloquial",ex-boyfriend; ex-girlfriend
แฟนเก่าฉันเขามองฉันผ่านเลยไปเหมือนฉันเป็นอากาศธาตุสำหรับเขายังไงอย่างงั้นเลยล่ะ,faaenM gaoL chanR khaoR maawngM chanR phaanL leeuyM bpaiM meuuanR chanR bpenM aaM gaatL saL thaatF samR rapL khaoR yangM ngaiM yaangL nganH leeuyM laF,example sentence,"""My former boyfriend ignored me; he just looked right through me like I was thin air."""
แฟนคุณสวยไม่มีที่ติเลย,faaenM khoonM suayR maiF meeM theeF dtiL leeuyM,example sentence,"""Your girlfriend is flawlessly beautiful."""
แฟนฉันเขาลีลาดีเป็นที่หนึ่ง! ,faaenM chanR khaoR leeM laaM deeM bpenM theeF neungL,"example sentence, colloquial","""My boyfriend is an ace in bed!"""
"แฟนผมส่งเสียงตามมาด้วยความ ""เซ็ง"" สามี",faaenM phohmR sohngL siiangR dtaamM maaM duayF khwaamM sengM saaR meeM,example sentence,"""My wife replied in the tone of voice used to talk to dull husbands,"""
แฟนสาว,faaenM saaoR,noun,girlfriend
แฟ้น,faaenH,adjective,[combining term with แน่น ]
แฟนคลับ,faaenM khlapH,"noun, loanword, English",[Thai transcription of foreign loanword] fanclub
แฟนตาซี,faaenM dtaaM seeM,"noun, adjective, loanword, English",[Thai transcription of the foreign loanword] fantasy
แฟนานุแฟน,faaeM naaM nooH faaenM,noun,"a group of fans; all one’s supporters; the community of readers, large and small"
แฟนานุแฟนทั่วสารทิศสุดเป็นห่วงเขา หลังรู้ข่าวเป็นมะเร็งตับ,faaeM naaM nooH faaenM thuaaF saaR raH thitH sootL bpenM huaangL khaoR langR ruuH khaaoL bpenM maH rengM dtapL,example sentence,"""All his fans everywhere are worried about him after they received the news that he had liver cancer."""
แฟบ,faaepF,adjective,[is] deflated; flat; out of air
แฟ้บ,faaepH,"noun, proper noun",[Thai transcription of foreign loan word] Fab; washing detergent
แฟ้ม ,faaemH,noun,file; folder; dossier
แฟ้มแขวน,faaemH khwaaenR,noun,hanging file (folder)
แฟ้มดรรชนี ,faaemH datL chaH neeM,noun,index file; Rolodex
แฟ้มหรือปกเอกสารที่ถอดออกได้  ,faaemH reuuR bpohkL aehkL gaL saanR theeF thaawtL aawkL daiF,noun,loose leaf binder
แฟ้มเอกสาร ,faaemH aehkL gaL saanR,noun,file folder
แฟร์ ,faaeM,"adjective, loanword, English","[Thai transcription of the foreign loanword] ""fair"", equitable"
แฟรงก์ ,fraaengM,proper noun,Frank [an English given name]
แฟรงก์เฟิร์ต,fraaengM feertF,"proper noun, geographical","Frankfurt, a city in Germany"
แฟรงกลิน,fraaengM glinM,"proper noun, person",Franklin [an English given name]
แฟรงกลิน ดี. โรสเวลต์,fraaengM glinM deeM ro:htF waehnM,"proper noun, person",Frankin D. Roosevelt
แฟรงกลิน เพียร์ซ,fraaengM glinM phiiasF,"proper noun, person",Franklin Pierce
แฟรงกี้,fraaengM geeF,"proper noun, loanword, English",Frankie [an English given name]
แฟรงเก็นสไตน์,fraaengM genM saL dtaiM,"noun, proper noun, loanword, English",[Thai transcription of the foreign loanword] Frankenstein; 1. a person who creates a monster or a destructive agency that cannot be controlled or that brings about the creator's ruin; 2. Also called Frankenstein monster: the monster or destructive agency itself
แฟรงค์ ,fraaengM,,[alternate spelling of แฟรงก์ ]
แฟรงค์ฟอร์ต ,fraaengM faawdF,"proper noun, geographical","Frankfort, the capital city of เค็นตั๊กกี (Kentucky)"
แฟรงค์เฟิร์ต,fraaengM feertF,proper noun,"Frankfurt, a city in Germany"
แฟรนซีน,fraaenM seenM,"proper noun, loanword, English",Francine [a given name]
แฟร์แบงศ์,faaeM baaengM,"noun, proper noun",[Thai transcription of place name] Fairbanks
แฟร์เวย์,faaeM waehM,"noun, loanword, English",[Thai transcription of foreign loanword] fairway (in golf)
แฟริ่ง,faaeM ringF,"noun, loanword, English",[Thai transcription of foreign loanword] fairing
แฟริ่งมอเตอร์ไซค์,faaeM ringF maawM dtuuhrM saiM,noun,motorcycle fairing
แฟลช,flaaetF,,[alternate spelling of แฟล็ช]
แฟล็ช,flaetH,"noun, loanword, English",[Thai transcription of the foreign loanword] flash; photo flash; flash of a camera
แฟลต,flaaetF,,[alternate spelling of แฟล็ต]
แฟล็ต,flaetH,"noun, loanword, English",[Thai transcription of the foreign loanword] flat; apartment
noun,apartment,,
โฟกัส,fo:hM gatL,"adjective, loanword, English",[Thai transcription of the foreign loanword] focus
โฟโต้บุ๊ก,fo:hM dto:hF bookH,"noun, loanword, English","[Thai transcription of foreign loanword] ""photobook"" for the ไอแพด"
โฟนอิน,fo:hnM inM,"verb, loanword, English","[Thai transcription of foreign loan word] phone in; to phone in; to address an audience or call into a
broadcast over the telephone (typically long-distance)"
โฟม,fo:hmM,"noun, loanword, English",foam [from English]
โฟล์ค,fo:hkF,"proper noun, loanword, German",[Thai transcription of the foreign loanword] Volks; Volkswagen
โฟล์คสวาเกน,fo:hkF saL waaM gaehnM,"proper noun, loanword, German",[Thai transcription of foreign name] Volkswagon
โฟลิก,fo:hM likH,,[alternate spelling of โฟลิค]
โฟลิค,fo:hM likH,noun,[กรดโฟลิค] folic acid
ไฟ ,faiM,,fire; flame
ไฟ ,faiM,noun,electric light; light switch
ไฟ ,faiM,noun,electricity
ไฟ ,faiM,noun,[of the skin] a mole
ไฟกระพริบ,faiM graL phripH,noun,blinking lights [mostly decorative]
ไฟกำลังไหม้บ้านแทนที่จะรีบดับไฟให้เร็วที่สุด กลับเที่ยววิ่งตะโกนถามทั่วบ้านทั่วเมือง ใครเป็นคนทำ,faiM gamM langM maiF baanF thaaenM theeF jaL reepF dapL faiM haiF reoM theeF sootL glapL thiaaoF wingF dtaL go:hnM thaamR thuaaF baanF thuaaF meuuangM khraiM bpenM khohnM thamM,example sentence,"""While his home was burning, instead of rushing to put out the fire as fast as possible, he ran around yelling throughout the town, 'Who caused this fire?'"""
ไฟขอทาน,faiM khaawR thaanM,noun,"emergency lights [flashing lights on an automobile, for example]"
ไฟข้าง ,faiM khaangF,noun,sidelights
ไฟเขียว ,faiM khiaaoR,noun,green traffic light or signal
ไฟเขียว,faiM khiaaoR,verb,to give a green light to; approve
ไฟเขียวไฟแดง ,faiM khiaaoR faiM daaengM,"noun, colloquial",traffic light; stop light
ไฟเครื่องยนต์ ,faiM khreuuangF yohnM,noun,ignition
ไฟจราจร ,faiM jaL raaM jaawnM,noun,traffic light; stop light
ไฟฉาย ,faiM chaaiR,,flashlight
ไฟฉุกเฉิน,faiM chookL cheernR,noun,emergency light
ไฟช็อค ,faiM chawkH,adjective,to shock electrically; to receive an electric shock; an electric shock
ไฟช็อต ,faiM chawtH,noun,electrical short circuit
ไฟแช็ก ,faiM chaekH,noun,cigarette lighter
ไฟแช๊ก,faiM chaaekH,noun,cigarette lighter
ไฟซีน่อน,faiM seeM naawnF,noun,Xenon headlight
ไฟดับ ,faiM dapL,"noun, phrase, colloquial",power blackout or outage
ไฟดูด ,faiM duutL,adjective,to receive an electrical shock
ไฟแดง ,faiM daaengM,noun,red traffic light; red traffic signal
ไฟตก,faiM dtohkL,"verb, phrase",a short interruption in electric power
ไฟถอยหลัง ,faiM thaawyR langR,noun,back-up light
ไฟท้าย ,faiM thaaiH,noun,tail light; rear lights on car
ไฟท้ายรถ,faiM thaaiH rohtH,noun,vehicle tail light
ไฟธาตุ,faiM thaatF,noun,[ไฟธาตุ] digestion
ไฟในอย่านำออกไฟนอกอย่านำเข้า ,faiM naiM yaaL namM aawkL faiM naawkF yaaL namM khaoF,"example sentence, idiom","""Don’t wash your dirty linen in public."""
ไฟในอย่านำออก ไฟนอกอย่านำเข้า,faiM naiM yaaL namM aawkL faiM naawkF yaaL namM khaoF,example sentence,"""Don't discuss family disputes with outsiders; don't bring outside disputes into the home."""
ไฟเบรค ,faiM braehkL,noun,brake lights
ไฟป่า ,faiM bpaaL,noun,forest fire
ไฟผ่าหมาก,faiM phaaL maakL,noun,emergency flashers
ไฟพะเนียง,faiM phaH niiangM,noun,[ไฟพะเนียง] sparkler variety of fireworks; Roman candle
ไฟฟ้า ,faiM faaH,"noun, adjective, phrase",[is] electrical; electric
ไฟฟ้า,faiM faaH,noun,electricity
ไฟฟ้ากระแสตรง,faiM faaH graL saaeR dtrohngM,"noun, phrase",direct current; D.C.
ไฟฟ้ากระแสสลับ,faiM faaH graL saaeR saL lapL,"noun, phrase",alternating current; A.C.
ไฟฟ้าเดินทาง,faiM faaH deernM thaangM,noun,flashlight
ไฟฟ้าแรงสูง,faiM faaH raaengM suungR,noun,high voltage
ไฟฟ้าโรง,faiM faaH ro:hngM,noun,building electrical power from the supply grid; electric main; power main
ไฟฟ้าสถิต,faiM faaH saL thitL,noun,static electricity
ไฟไม่ติดเพราะไม่มีเชื้อ,faiM maiF dtitL phrawH maiF meeM cheuuaH,example sentence,"""The fire will not like because there is no tinder."""
ไฟรวมแสงบนเวที ,faiM ruaamM saaengR bohnM waehM theeM,noun,spotlight
ไฟแรง,faiM raaengM,adjective,"[is] enthusiastic, innovative, and hard-working"
ไฟแรงสูง,faiM raaengM suungR,noun,high-voltage
ไฟลามทุ่ง,faiM laamM thoongF,noun,"erysipelas, a bacterial skin infection"
ไฟลามทุ่ง ,faiM laamM thoongF,noun,wildfire
ไฟลุกโชน,faiM lookH cho:hnM,verb,to blaze; flame; burn over
ไฟเลี้ยว ,faiM liaaoH,noun,turn signal indicator
ไฟวาบแสง,faiM waapF saaengR,"noun, phrase",flash of a camera
ไฟวู่วามมาเกือบถึงบ้านเราแล้ว,faiM wuuF waamM maaM geuuapL theungR baanF raoM laaeoH,example sentence,"""The fire has spread and has almost reached our house."""
ไฟสัญญาณจราจร ,faiM sanR yaanM jaL raaM jaawnM,noun,traffic lights
ไฟสูง,faiM suungR,noun,high-beam (on a car or motorcycle)
ไฟหน้า ,faiM naaF,"noun, formal",headlight
ไฟหน้าของยานพาหนะ,faiM naaF khaawngR yaanM phaaM haL naH,"noun, phrase",vehicle headlights
ไฟหน้ารถ ,faiM naaF rohtH,noun,headlight
ไฟหน้าแฮโลเจน,faiM naaF haaeM lo:hM jaehnM,noun,halogen headlights
ไฟหลังรถ ,faiM langR rohtH,noun,taillight; light at the rear of a vehicle
ไฟไหม้  ,faiM maiF,,burning; fire
ไฟไหม้,faiM maiF,example sentence,"""Fire!"""
ไฟไหม้ฟาง,faiM maiF faangM,"noun, phrase",flash in the pan; momentary hit
ไฟเซอร์,faiM suuhrM,"noun, proper noun, formal, loanword, English",[Thai transcription of the foreign loanword] Pfizer
ไฟเซอร์และวอร์เนอร์-แลมเบิร์ต ,faiM suuhrM laeH waawM nuuhrM laaemM beertL,"noun, pronoun, phrase, formal, loanword, English","[Thai transcription of the foreign loanword, ""Pfizer and Warner-Lambert""]"
ไฟแนนซ์,faiM naaenM,"noun, loanword, English",[Thai transcription of the foreign loanword] finance
ไฟเบอร์,faiM buuhrM,"noun, loanword, English",[Thai transcription of the foreign loanword] fiber
ไฟประลัยกัลป์,faiM bpraL laiM ganM,noun,holocaust; doomsday; armageddon
ไฟร์ฟอกซ์,faiM faawkF,proper noun,Firefox
ไฟล์,faiM,"noun, loanword, English",[Thai transcription of the foreign loanword] file
ไฟลัม,faiM lamM,"noun, loanword, English",Phylum [in taxonomy - อนุกรมวิธาน]
ไฟแวบ ,faiM waaepF,noun,flash of a camera
