ก.แกรู้ไหมอ้ายหมอนั่นสอบตกอีกแล้ว|abbreviation,example sentence
เขามีเงินเท่าไหร่ก็เอาไปละลายในวงไพ่หมด|example sentence
เขามีใจเมตตาแต่ชอบพูดขวานผ่าซาก|example sentence
เขามีฐานะยากจนอยู่แล้วยังจะอ้าขาผวาปีกไปขอเด็กมาเลี้ยงเป็นลูกบุญธรรมอีก|example sentence
เขามีตาถั่วทั้งสองข้างทำให้มองอะไรไม่เห็น|example sentence
เขามีนกเขาสองตัว|example sentence
เขามีนิสัยเป็นตัวของตัวเองผู้ใดจะจูงจมูกเขาไม่ได้|example sentence
เขามีนิสัยส่วนตัวที่ชอบลองของโดยลืมนึกไปว่าผลที่ตามมาจะเป็นอย่างไร|example sentence
เขามีประสบการณ์จากญาติที่เมืองจีนจึงนำมาประยุกต์ส่วนหนึ่งได้ปลูกพืชสมุนไพรใต้ต้นผลไม้ช่วยขับไล่แมลงได้อย่างดี|example sentence
เขามีประสบการณ์น้อยเมื่ออยู่ในสังคมของการทำงานจึงไม่ทันคน|example sentence
เขามีประสบการณ์ในการทำงานในโรงงาน|example sentence
เขามีภาระต้องผ่อนชำระค่าเช่าบ้านกับธนาคารทุกๆเดือน|example sentence
เขามีลูกชายสามคน|example sentence
เขามีลูกฟุตบอล|example sentence
เขามีลูกฟุตบอลลูกเดียว|example sentence
เขามีลูกฟุตบอลลูกนั้น|example sentence
เขามีวิธีการอันลึกล้ำเป็นเหมือนอาวุธร้ายแรงที่คู่แข่งต่างๆเกรงกลัว|example sentence
เขามีศัตรูอยู่ทุกหนทุกแห่ง|example sentence
เขามีหลักฐานเพียงพอที่จะแฉโพยเรื่องโกงกินของเจ้าหน้าที่ป่าไม้|example sentence
เขามีอัธยาศัยเอื้อเฟื้อ|example sentence
เขามีอาชีพเป็นแมวมองจัดหานักแสดงให้กับละคร|example sentence
เขามีอีหนูทำนองเมียน้อยหรือเมียเก็บคอยปรนนิบัติอยู่ในที่พำนัก|example sentence
เขาไม่กล้าสู้หน้าภรรยาและลูกๆของเขาเพราะเขาทำผิดมากเหลือเกิน|example sentence
เขาไม่เข้ากันได้ดีเท่าไหร่|example sentence
เขาไม่เข้าใจคนพิเศษอย่างผม|example sentence
เขาไม่ค่อยดูหนังสือเท่าไหร่เขาก็ยังสอบผ่านอยู่ดี|example sentence
เขาไม่ค่อยถูกกันเท่าไหร่|example sentence
เขาไม่ค่อยทำความสะอาดห้องจนแมงมุมชักใยอยู่ทั่วทุกมุมห้อง|example sentence
เขาไม่คาดฝันว่าจะได้รับตำแหน่งรวดเร็วถึงเพียงนี้|example sentence
เขาไม่เคยเป็นโรคหัวใจมาก่อน|example sentence
เขาไม่เคยลืมบุญคุณของผู้ชุบเลี้ยงเขามาตลอดชีวิต|example sentence
เขาไม่เจ็บแต่ทำสีหน้าให้เหมือนคนเจ็บ|example sentence
เขาไม่ชอบทำงานชอบแต่จะเดินเอ้อระเหยลอยชายไปเรื่อยๆ|example sentence
เขาไม่ชอบที่ใครๆว่ามันคือสัญลักษณ์ของความโง่|example sentence
เขาไม่เชื่อในเรื่องอิทธิฤทธิ์ปาฏิหาริย์แต่ก็ไม่ลบหลู่การแขวนพระเครื่อง|example sentence
เขาไม่เชื่อว่าทั้งสามคนจะมีความสามารถมีลูกล่อลูกชนและมีภูมิต้านทานเทียบเท่าตนเอง|example sentence
เขาไม่ใช่คนใจไม้ไส้ระกำแต่เขาเป็นคนที่ไม่มีความรับผิดชอบ|example sentence
เขาไม่ใช่คนฉลาดปราดเปรื่องแต่ความมีมานะและขยันขันแข็งต่างหากที่ทำให้ผลการเรียนของเขาดีขึ้น|example sentence
เขาไม่ใช่คนต่างด้าวที่มาอาศัยอยู่ในดินแดนไทยอย่างเปล่าดาย|example sentence
เขาไม่ใช่คนที่ใครจะมาจูงจมูกเขาง่ายๆ|example sentence
เขาไม่ใช่คนที่จะมาคร่ำครวญงี่เง่าถึงวันคืนเก่าๆ|example sentence
เขาไม่ใช่พระอิฐพระปูนเขาเองรู้สึกเสียใจอยู่ลึกๆ|example sentence
เขาไม่ได้ใช้มือทานะครับเขาจะมีที่ทาแป้ง|example sentence
เขาไม่ได้เป็นอะไรมากเพียงแต่มีแผลเป็นรอยปากช้างเท่านั้น|example sentence
เขาไม่ได้ไปตรวจเช็คสภาพยางรถนะครับคือยางรถของเขาไม่มีดอกยางแล้ว|example sentence
เขาไม่ได้สะทกสะท้านกับเรื่องที่เกิดขึ้นเลยสักน้อย|example sentence
เขาไม่ได้หนีโรงเรียนแต่ก็พลอยฟ้าพลอยฝนถูกทำโทษไปด้วย|example sentence
เขาไม่ได้ให้อะไรผมเลย|example sentence
เขาไม่ต้องมาก็ได้|
เขาไม่น่าหักหลังผมเลยเพราะเราเป็นเพื่อนที่รักกันมาก|example sentence
เขาไม่ไปโรงเรียนเหรอนั่น|example sentence
เขาไม่มา|example sentence
เขาไม่มาทำไมหรอก|example sentence
เขาไม่มาทำไมหรอกน่ะ|example sentence
เขาไม่มีน้ำยาอะไรๆที่จะทำร้ายคนอื่นได้ในเวลานี้หรอก|example sentence
เขาไม่มีรถค่ะ|example sentence
เขาไม่ยอมรับของกำนัล|example sentence
เขาไม่ยินยอมให้ใครเข้ามายุ่งเกี่ยว|example sentence
เขาไม่รักไม่แคร์ไม่สนใจเมื่อไหร่จะเลิกรา|example sentence
เขาไม่รู้ถึงตื้นลึกหนาบางเรื่องที่พ่อแม่ทะเลาะกัน|example sentence
เขาไม่ว่าอะไรๆหรอก|example sentence
เขาไม่สบายมาสามเดือนกว่าแล้ว|example sentence
เขาไม่ใส่ใจผลที่ตามมา|example sentence
เขาไม่อยากกลับบ้านเท่าใดนักเพราะกลับมาทีไรพ่อต้องหาเรื่องพูดจากระทบกระเทียบ|example sentence
เขาไม่อยากจะเกี่ยวข้องกับเรื่องหยุมหยิมจึงไม่เข้าไปฟังเขาคุยกัน|example sentence
เขาไม่อยากเชื่อว่าจะมีใครอุตริซื้อหานกป่าไปเลี้ยง|example sentence
เขาไม่อยากทำกิจธุระอะไรที่ไม่ได้ประโยชน์|example sentence
เขาไม่อยากไปที่ไหนเลยสักแห่ง|example sentence
เขาไม่อยากไปที่ไหนหรอก|example sentence
เขาไม่อยากไปไหนหรอก|example sentence
เขาไม่อยากให้ใครมาลงลุยงานนาในตอนนี้|example sentence
เขาไม่อาจแข็งใจหลับต่อได้อีกทั้งๆที่อิดโรยอย่างเต็มที่|example sentence,formal
เขายกทีมคนสนิทไขก๊อกทุกคนจึงได้ผ่องถ่ายสมัครเข้าเป็นสมาชิกพรรคนี้เต็มตัว|example sentence
เขายกปืนขึ้นเล็งก่อนแล้วจึงเหนี่ยวไก|example sentence
เขายกมือขึ้นอุดหูไม่ได้ยินเสียงอีกต่อไปแต่หัวใจหนักอึ้ง|example sentence
เขาย้อนเข้าไปในหมู่บ้านอีกครั้งเพราะลืมของสำคัญเอาไว้|example sentence
เขาย้อนพ่อแม่อยู่บ่อยๆเหมือนเห็นพ่อแม่เป็นเพื่อนเล่น|example sentence
เขายอมรับว่าผีเสื้อมีประโยชน์ในระบบนิเวศวิทยา|example sentence
เขายังคงเดินหน้ากระชับอำนาจตัวเองและคนใกล้ชิดอย่างน่าจับตา|example sentence
เขายังมีลักษณะอะไรบางอย่างที่ผูกติดอยู่กับรากเหง้าหรือกำเนิดของตัวเอง|example sentence
เขายังยิ้มเช่นเดิมหันไปเปิดกระเป๋าหยิบเอาถุงทรายใบย่อมขึ้นมา|example sentence
เขายังอยู่ที่นั่นหรือเปล่า|example sentence
เขายากจนอยู่แล้วยังเคราะห์ซ้ำกรรมซัดให้บ้านถูกไฟไหม้อีก|example sentence
เขายิ้มพร้อมกับบอกว่า"การที่ใส่น้ำลงไปเพราะอยากให้เห็นว่าไม่ว่าชีวิตของเราจะวุ่นวายสับสนเพียงใดในความสับสนและวุ่นวายเหล่านั้นคุณยังมีที่ว่างสำหรับการแบ่งปันน้ำใจให้กันเสมอ|example sentence
เขายิ้มไม่พูดอะไรต่อหันไปเปิดกระเป๋าเอกสารคู่ใจ|example sentence
เขายิ้มเหนียมๆมาทางฉันอยู่บ่อยๆ|example sentence
เขายึดมั่นในทิฐิมานะของตนมากไม่ยอมฟังผู้อื่นเลย|example sentence
เขายืนจ้องแสงอาทิตย์ยามเช้าด้วยใบหน้าอิดโรยที่แฝงความหมายหลายนัย|example sentence,formal
เขายืนอยู่หน้ากระจกเงาบานเก่าด้วยท่าทางปั้นปึ่งมองดูผมด้วยสายตาเย็นชา|example sentence
เขายื่นมือแตะแขนนางเบาๆเป็นเชิงปลอบโยน|example sentence
เขายืนยันว่าไม่มีเกาเหลาในการทำงาน|example sentence
เขายืนยันว่าเรื่องยิ่งสั้นมากเท่าไหร่ยิ่งเขียนยากขึ้นเท่านั้น|example sentence
เขาระบุว่ากลุ่มเหล่านี้มีอันตรายไม่ยิ่งหย่อนไปกว่ากลุ่มเสื้อแดง|example sentence
เขาระอากับรถเก่าของเขาเต็มแก่และตั้งใจว่าจะซื้อใหม่ปีหน้า|example sentence
เขารักผู้หญิงพุ่มม่ายแถมมีเรือพ่วงวัยน่ารักอีกสอง|example sentence
เขารับปากรับคำเป็นมั่นเหมาะแล้วว่ายินดีและเต็มใจช่วยเหลือ|example sentence
เขารำคาญที่ถูกถามบ่อยๆ|example sentence
เขารีบตาเหลือกไปทำงานเพราะตื่นสายมาก|example sentence
เขารีบวิ่งข้ามไป|example sentence
เขารุกฆาตคู่ต่อสู้โดยไม่ลังเล|example sentence
เขารู้จักประมาณตัวในการทำธุรกิจเพื่อไม่ให้ขาดทุนย่อยยับ|example sentence
เขารู้จักผมดี|example sentence
เขารู้ภาษาอังกฤษดีพอสมควร|example sentence
เขารู้ว่าเพื่อนเขาคอยทำตัวเป็นก้างขวางคออยู่เสมอเพื่อไม่ให้เขาได้สมหวัง|example sentence
เขารู้สึกกระหายน้ำอย่างแรง|example sentence
เขารู้สึกคล้ายตัวเองกำลังทำงานกับคนแก่แต่ก็บอกตัวเองว่าถึงมันจะแก่มันก็คือควาย|example sentence
เขารู้สึกคุ้นเคยกับทุกๆคนราวกับได้รู้จักมาแรมปี|example sentence
เขารู้สึกคุ้นหน้าผู้หญิงคนนี้มาก|example sentence
เขารู้สึกใจชื้นขึ้นเมื่อเห็นตำรวจผ่านมา|example sentence,colloquial
เขารู้สึกตัวขึ้นมาในสภาพที่ถูกพันธนาการด้วยกุญแจมือ|example sentence
เขารู้สึกน้อยหน้าที่ไม่ได้สวมเครื่องประดับราคาแพง|example sentence
เขารู้สึกเบลอไปชั่วขณะเมื่อทราบข่าวร้าย|example sentence
เขารู้สึกรำคาญพี่สาวที่เลือกของพิรี้พิไรอยู่นานแล้ว|example sentence
เขารู้สึกว่าอดีตที่เขาเคยเป็นคนคุกนั้นเป็นตราบาปติดตัวเขาไปตลอด|example sentence
เขารู้สึกหวาดระแวงกับความมืดยามค่ำคืนเพราะความมืดมักจะซ่อนเร้นสิ่งต่างๆไว้|example sentence
เขารู้สึกเหนียมที่จะเข้าไปบอกความจริงกับเธอ|example sentence
เขารู้สึกอึดอัดแต่ไม่รู้ว่าจะทำอย่างไรต่อไปดี|example sentence
เขารูดซิปตรงเป้ากางเกงขึ้นแล้วกดดันโยกสามครั้งก่อนที่โถปัสสาวะโบราณจะทำงาน|example sentence
เขารู้ตัวว่าเขาไม่สบายมากเขาก็ยังไปทำงานอยู่ดี|example sentence
เขาเริ่มจับสัญญาณไม่ดีบางอย่างได้|example sentence
เขาเริ่มปราศรัยด้วยการแนะนำตนเอง|example sentence
เขาเริ่มสาธยายเป็นชุดๆว่ารถบ้านจำพวกนี้แสนจะสั่วขนาดไหน|example sentence
เขาเริ่มอารัมภกถาคำปราศรัยของเขาด้วยภาษิตบทหนึ่ง|example sentence
เขาเรียนจบตั้งสองปีแล้วยังวิจัยฝุ่นอยู่เลย|example sentence
เขาเรียนจบมาใหม่ๆกำลังไฟแรงจึงควรให้เขาได้ทำงานอย่างเต็มที่|example sentence
เขาเรียนดนตรีที่ประเทศอังกฤษเมื่อสองปีก่อน|example sentence
เขาล้มตัวลงนอนเหยียดยาวและหลับไปในพริบตา|example sentence
เขาล้มหมอนนอนเสื่อโดยที่ไม่มีใครดูแลมาเป็นเวลาหลายปีแล้ว|example sentence
เขาลั่นกุญแจประตูไว้ดังเดิม|example sentence
เขาลาออกจากตำแหน่งผู้บัญชาการทหารบกเพื่อรักษาคำมั่นสัญญาสุภาพบุรุษที่เคยให้ไว้|example sentence
เขาลาออกทั้งๆที่หน้าที่การงานกำลังเจริญก้าวหน้า|example sentence
เขาลำพองใจว่าไม่มีใครสู้เขาได้|example sentence
เขาลิงโลดเกินพอดีเมื่อรู้ว่าผู้หญิงที่เขาคั่วอยู่รับรักเขาแล้ว|example sentence
เขาลืมคำอบรมสั่งสอนจากโรงเรียนจนหมดสิ้นเพราะมัวหลงใหลได้ปลื้มไปกับสิ่งชั่วร้าย|example sentence
เขาลือกันว่า...|phrase
เขาลือกันว่า|phrase
เขาลุกขึ้นทำทีมีธุระอะไรซักอย่างเพื่อจะได้ชื่นชมความงามของหญิงสาวเหล่านั้น|example sentence
เขาเลยหอบเอกสารขึ้นมาทำที่บนรถไฟ|example sentence
เขาเล่าชีวิตวัยเรียนที่มหาวิทยาลัยให้ฟัง|example sentence
เขาเล่าต่อไปถึงแผนในอนาคตว่าถ้าตอนฝึกงานไม่มีปัญหาอะไรก็น่าจะมีโอกาสเข้าทำงานในบริษัทนี้|example sentence
เขาเล่าถึงรุ่นพี่ที่เขาชื่นชมคนหนึ่งว่าเมื่อทำงานได้ผลดี|example sentence
เขาเล่าถึงวงจรชีวิตของผีเสื้อหรือก็คือช่วงชีวิตทั้งหมดของมันเริ่มจากตัวเมียวางไข่|example sentence
เขาเล่าเรื่องของตัวเองได้อย่างคล่องแคล่วชัดถ้อยชัดคำ|example sentence
เขาเล่าว่าเข้ามาเรียนที่กรุงเทพฯตอนมัธยมต้น|example sentence
เขาเล่าว่าพ่อกับแม่แยกทางกันตั้งแต่เขาอายุยังไม่ถึงสิบขวบ|example sentence
เขาเลียแข้งเลียขาเจ้านายจนได้ขึ้นเงินเดือนก่อนใคร|example sentence
เขาเลื่องชื่อว่าเป็นคนกล้าไม่กลัวใคร|example sentence
เขาและอีกสองชีวิตเดินเป็นแถวตอนบนคูน้ำ|example sentence
เขาโล่งอกและดีใจที่ทำได้|example sentence
เขาโลดแล่นอยู่ในวงธุรกิจเครื่องเพชรมากกว่า๑๐ปี|example sentence
เขาไล่ผมยังกะหมูกะหมาหาว่าไปทำเสียงดังรบกวนเขา|example sentence
เขาว่า|verb
เขาว่ากระไร|example sentence,formal
เขาว่ากันว่าพวกคุณหนูมักจะจุกจิกจู้จี้เรื่องมากแต่เธอเป็นคนง่ายๆไม่เรื่องมากซักหน่อยหรอก|example sentence
เขาว่ากันว่าแม่กับลูกสาวมักจะกลายเป็นคู่แข่งขัน|example sentence
เขาว่ากันว่าร้านนี้อร่อย|example sentence
เขาว่ากันว่าเวลาไม่เคยรอใคร|example sentence
เขาวางแผนเพื่อบรรลุเป้าหมายของเขา|example sentence
เขาวางแอกและขยับให้เข้าที่เข้าทาง|example sentence
เขาวิ่งตั้งหน้าตั้งตาเพราะสุนัขกำลังไล่หลังเขามาติดๆ|example sentence
เขาวิ่งตาลีตาเหลือกขึ้นรถไฟที่กำลังเคลื่อนตัวออกจากสถานี|example sentence
เขาวิ่งเต็มกำลัง|example sentence
เขาวิ่งวันละสองครั้ง|example sentence
เขาวิ่งหนีกันอุตลุด|example sentence
เขาส่งงานมาให้ผมพิจารณานานแล้วแต่เงียบหายขาดการติดต่อไปหลายปี|example sentence
เขาส่งจดหมายให้ผม|example sentence
เขาส่งต้นร่างของบทละครให้อาจารย์ตรวจ|example sentence
เขาสนิทกับรัฐมนตรีคนนี้เพราะเล่นกอลฟ์ก๊วนเดียวกัน|example sentence
เขาสมัครจะเล่นกับพวกเด็กๆด้วยกัน|example sentence
เขาสมัครเป็นตำรวจภูธรที่จังหวัดยโสธรซึ่งเป็นบ้านเกิดของเขาเอง|example sentence
เขาสวมเสื้อผ้าขาดกะรุ่งกะริ่ง|example sentence
เขาสองคนต้องพรากจากกันเพราะผู้ใหญ่ไม่เห็นด้วยที่จะให้รักกัน|example sentence
เขาสอดลวดเข้าเหงือกของปลาแล้วมัดห้อยไว้กับหางไถ|example sentence
เขาสอบได้รึเปล่า|example sentence
เขาสะดุดบันได|example sentence
เขาสะพายกล้องกับบ่าเดินกลับเมื่อได้ภาพที่ต้องการแล้ว|example sentence
เขาสังเกตเห็นไฟกระพริบอยู่ไกลลิบไม่นานก็ใกล้เข้ามา|example sentence
เขาสัตว์|noun
เขาสับปลับได้แม้กระทั่งลูกเมียของตัวเอง|example sentence
เขาสามารถบริหารงานทุจริตทั้งหลายของบริษัทได้ตามสบายโดยไม่ต้องระแวดระวังอันตรายใดๆ|example sentence
เขาสามารถมั่งมีขึ้นมาได้ก็ด้วยน้ำพักน้ำแรงของเขาเอง|example sentence
เขาสามารถอธิบายได้เป็นคุ้งเป็นแควว่าควรจะแก้ปัญหาอย่างไร|
เขาสิงสู่อยู่ในบ้านร้างหลังนี้|example sentence
เขาสิ้นใจตามลำพัง|example sentence
เขาสิ้นไร้ไม้ตอกถึงขนาดต้องเก็บของเก่าขายกิน|example sentence
เขาสู้ทนความลำบากทำงานที่ต่างแดนเพื่อให้พ่อแม่ได้อยู่กันสบาย|example sentence
เขาสู้มือเปล่ากับคนร้ายที่มีปืน|example sentence
เขาเสนอให้มีการเจรจาสันติภาพหลังจากรบราฆ่าฟันกันมาหลายยกแล้ว|example sentence
เขาเสียการพนันจนหมดตูด|example sentence
เขาเสียดายที่คนดีๆตายในอุบัติเหตุครั้งนี้หลายคน|example sentence
เขาเสียเหงื่อมากจึงดื่มน้ำเข้าไปถึงสองขวด|example sentence,formal
เขาเสี้ยมหลาวจนแหลม|example sentence
เขาหงุดหงิดที่เพื่อนไม่ยอมเข้าใจ|example sentence
เขาหนักอกหนักใจในปัญหาเรื่องหนี้สินอย่างมาก|example sentence
เขาหน้าเซียวไปมากเพราะไม่สบายหลายวันแล้ว|example sentence
เขาหน้าบานเพราะสอบได้ที่๑|example sentence
เขาหน้ามืดถึงขั้นเดิมพันด้วยทรัพย์สินทั้งหมดที่มีอยู่|example sentence
เขาหยิ่งจนไม่ยอมพูดกับใคร|example sentence
เขาหลงรักเธอจนหัวปักหัวปำใครๆเตือนก็ไม่เชื่อ|example sentence
เขาหลงใหลเธออย่างไม่ลืมหูลืมตา|example sentence
เขาหล่นจากมอเตอร์ไซค์ลงมานอนหงายเงิบอยู่บนถนน|example sentence
เขาหันไปถามนักศึกษาอีกครั้ง"เหยือกเต็มหรือยัง|example sentence
เขาหันไปถามนักศึกษาอีก"เหยือกเต็มหรือยัง?|example sentence
เขาหันมายิ้มให้ผมยิ้มตอบแล้วเดินจากมา|example sentence
เขาหัวเสียและสบถออกมาอย่างลืมตัว|example sentence
เขาหัวเราะดังลั่นจนทุกคนหันมามองเป็นตาเดียว|example sentence
เขาหากินไม่พอยาไส้|example sentence
เขาหายกลัวเป็นปลิดทิ้งเมื่อพบว่าเสียงที่ได้ยินเป็นเสียงเคาะประตูของเพื่อน|example sentence
เขาหินปูน|noun
เขาเห็นแก่ว่าสิ่งที่เป็นวัฒนธรรมดั้งเดิมของเขาเป็นเรื่องล้าสมัยไปแล้ว|example sentence
เขาเห็นตำตาว่าเธอกำลังขโมยเงินจากลิ้นชักของเขาไป|example sentence
เขาเหยียบย่ำน้ำใจผู้ที่เคยภักดีต่อเขา|example sentence
เขาเหิมหาญมากที่ไปขอแต่งงานกับลูกสาวเจ้าพ่อ|example sentence
เขาโหม่งลูกบอลเข้าประตูไปเป็นลูกสุดท้ายก่อนจบการแข่งขัน|example sentence
เขาให้ความเห็นยังไงเขาชอบไหมเขาสนุกหรือเปล่า|example sentence
เขาให้คำมั่นว่าจะทำทุกอย่างที่จำเป็นเพื่อป้องกันไม่ให้เกิดเหตุการณ์เช่นนี้ซ้ำอีก|example sentence
เขาให้ท้ายลูกจนเหลิงกันไปหมดแล้ว|example sentence
เขาใหญ่|noun,proper noun
เขาใหญ่|noun,proper noun
เขาอดตาหลับขับตานอนข้ามวันข้ามคืนเร่งอัดอ่านหนังสือเตรียมสอบ|example sentence,colloquial
เขาอตัญญูต่อผู้มีพระคุณไม่มีวันเจริญได้แน่|example sentence
เขาอยากเจรจาเพื่อหาหนทางประนีประนอม|example sentence
เขาอยากได้ของชิ้นนี้เหลือเกินแต่ไม่ยอมควักกระเป๋า|example sentence
เขาอยากให้ทุกคนเข้าใจเขาแต่ไม่มีใครเข้าใจเขาเลย|example sentence
เขาอยู่กันไปตามอัตภาพ|example sentence
เขาอยู่ที่นี่|example sentence
เขาอยู่ที่นี่มาสามอาทิตย์แล้ว|example sentence
เขาอยู่ที่ไหน|example sentence
เขาอยู่ในบ้าน|example sentence
เขาอยู่ในบ้านหลังที่สี่|example sentence
เขาอยู่ในสภาพที่หมิ่นเหม่ต่ออันตรายที่จะถูกลอบสังหารหลายครั้งแล้ว|example sentence
เขาอยู่บางกะปิ|example sentence
เขาอยู่บ้านเลขที่ยี่สิบสามบนถนนใหญ่|example sentence
เขาอยู่บ้านหลังที่สามหรือหลังที่สี่|example sentence
เขาอรชรอ้อนแอ้นเกินกว่าจะเป็นพระเอกเรื่องนี้|example sentence
เขาอวดว่าเขาจะเปิดสถานที่หรูวิจิตรตระการตาแต่พอเอาเข้าจริงเขาไม่ได้ทำอะไรแบบนั้นเลยครับก็มันเป็นผับกระจอกๆแบบชาวบ้านๆที่มีคาราโอเกะเท่านั้น|example sentence
เขาอวดอ้างว่าเขาเป็นลูกเจ้าพ่อที่มีอิทธิพลมาก|example sentence
เขาอ้วน|example sentence
เขาออกจากบ้านไปทั้งที่ฝนกำลังตก|example sentence
เขาออกจากบ้านไปหลายชั่วโมงแล้ว|example sentence
เขาออกเดทกับสาวอื่นๆเพื่อหวังจะให้แฟนหึงแต่มุขนี้มันแป๊กเพราะแทนที่แฟนจะหึงเธอกลับไปควงชายอื่นๆซะเลย|example sentence
เขาออกเดินทางอย่างกะทันหัน|example sentence
เขาอาจจะมีหรือไม่มีแผนอะไรในใจก็ได้...ใครจะไปรู้|example sentence,colloquial
เขาอาจจะไม่โลภโมโทสันเท่ากับพี่ชายของเขาก็ได้|example sentence
เขาอาจจะอยากได้กระเป๋าเท่ๆสักใบหนึ่งหมวกเจ๋งๆสักอันแว่นตากันแดดสวยๆสักอันก็ได้นะครับ|example sentence
เขาอาจประเมินกำลังของควายแก่ๆต่ำเกินไปตราบใดที่คันไถยังเคลื่อนตัวไปข้างหน้า|example sentence
เขาอาจยินดีกับการเป็นพลเมืองไทยแต่ไม่ยินดีที่จะสลายอัตลักษณ์ภาษาวัฒนธรรมดั้งเดิมของตัวเอง|example sentence
เขาอ่านจดหมายด้วยน้ำเสียงที่แปร่งหู|example sentence
เขาอ่านทางลมดูแล้วประเมินผลว่าน่าจะโดนเข้าสักคดี|example sentence
เขาอ่านเร็วๆ|example sentence
เขาอ่านหรือเขียนภาษาไทยไม่เป็น|example sentence
เขาอายุยี่สิบแต่หน้าปาเข้าไปสี่สิบ|example sentence
เขาเอง|pronoun
เขาเอเวอร์เรสท์|proper noun
เขาเอาตัวไม่รอด|example sentence
เขาเอาแผ่นไม้สักมาไสทำเป็นลับแลตั้งเป็นฉากกั้น|example sentence
เขาเอาลูกธนูออกจากแล่ง|example sentence
เขาโอ๋ลูกจนเกือบจะเสียคน|example sentence
เขาแฮปปี้ชีวิตคู่แพลนปั๊มทายาท|example sentence
เข่า|noun
เข้า|verb,particle,transitive,intransitive,colloquial,noun
เข้ากระโจม|verb,phrase
เข้ากระดูกดำ|adverb
เข้ากรุ|noun
เข้ากลีบเมฆ|
เข้ากัน|adjective
เข้ากันได้|verb
เข้ากันได้ดี|verb
เข้ากับ|verb
เข้าเกณฑ์|adjective
เข้าเกียร์|verb
เข้าเกียร์ถอยหลัง|verb,phrase
เข้าเกียร์ถอยหลัง|verb,idiom
เข้าใกล้|verb
เข้าขั้น|verb
เข้าขา|verb
เข้าข้าง|verb,transitive
เข้าข่าย|adjective
เข้าครอบครอง|verb,phrase,formal
เข้าครอบครองควบคุมและบังคับข้อมูลข่าวสาร|verb
เข้าคอ|verb
เข้าค่าย|verb
เข้าคิว|verb
เข้าคู่|verb
เข้าเครื่อง|verb
เข้าเค้า|verb
เข้าเงียบ|verb
เข้าเงื่อนไข|verb
เข้าแง่|adjective
เข้าจับกุม|verb,phrase
เข้าเจ้า|adjective
เข้าเจ้าเข้านาย|
เข้าใจ|verb
เข้าใจไขว้เขว|verb
เข้าใจแจ่มแจ้ง|adjective,phrase
เข้าใจดี|
เข้าใจทะลุปรุโปร่ง|verb
เข้าใจผิด|verb
เข้าใจว่า|verb,phrase
เข้าใจหัวอกพ่อแม่จำนวนไม่น้อยคงไม่อยากส่งเสริมให้ลูกเล่นสนุกเกอร์มากนัก|example sentence
เข้าใจไหม|phrase
เข้าชื่อ|verb
เข้าชุด|verb
เข้าฌาน|verb
เข้าฌาน|adjective
เข้าด้ายเข้าเข็ม|
เข้าตรีทูต|adjective,phrase
เข้าตา|verb
เข้าตาจน|adjective
เข้าตี|verb,transitive,phrase
เข้าถึง|verb,intransitive,phrase
เข้าถึงจิตใจคน|verb,phrase
เข้าแถว|verb
เข้าทรง|noun,verb,phrase
เข้าท่า|adjective
เข้าทาง|verb
เข้าท้ายครัว|verb,phrase
เข้าทำงาน|verb
เข้าที|adjective
เข้าที่|verb
เข้าที่|verb,archaic
เข้าที่เข้าทาง|verb
เข้าแทรกแซง|verb,transitive,intransitive,phrase,formal
เข้านอน|verb
เข้าบัญชี|verb
เข้าประจำการ|verb
เข้าประชุม|verb
เข้าประเด็น|verb
เข้าประตูหลัง|verb,colloquial,vulgar
เข้าเป้า|verb
เข้าไป|verb
เข้าไป|verb
เข้าไป|adverb
เข้าไปเกี่ยวข้อง|verb
เข้าไปใกล้|verb
เข้าไปมีส่วนร่วม|verb,intransitive,phrase
เข้าไปใหญ่|adverb
เข้าฝูงหงส์ก็เป็นหงส์เข้าฝูงนกกาก็เป็นนกกา|example sentence,idiom
เข้าเฝ้า|verb,phrase
เข้าพบ|
เข้าพรรษา|proper noun,event,formal
เข้าพัก|verb
เข้าพุง|verb
เข้ามา|verb
เข้ามาเกี่ยวข้อง|verb
เข้ามาใกล้|verb
เข้ามานอนมุ้งสายบัวแค่สามวันก็คิดหนีแล้ว|example sentence
เข้ามาตรฐาน|adjective
เข้าเมืองตาหลิ่วต้องหลิ่วตาตาม|example sentence,idiom
เข้าไม่ถึง|phrase
เข้าไม้|verb
เข้ายึดได้|verb,phrase
เข้ารกเข้าพง|verb,phrase
เข้าร่วม|verb
เข้ารหัส|
เข้าร่องเข้ารอย|verb,phrase
เข้ารีต|verb
เข้ารูปเข้ารอย|verb
เข้าเรียนในบรรยากาศของโรงเรียนที่แท้จริงพร้อมบริการรถรับส่งนักเรียน|noun,phrase,formal
เข้าวงกตของเส้นทางหลวง|verb,phrase
เข้าวัด|verb
เข้าวัดเข้าวา|verb,phrase
เข้าสิง|verb,transitive,intransitive,phrase
เข้าสู่|verb
เข้าสู่ระบบ|verb
เข้าเส้น|verb
เข้าเส้นชัย|verb,phrase
เข้าห้องน้ำหน่อยได้ไหมครับ|example sentence
เข้าหา|verb
เข้าหา|verb,phrase
เข้าหู|verb
เข้าหู|adjective
เข้าหูซ้ายทะลุหูขวา|example sentence,idiom
เขากวาง|noun
เขากวางหรือละมั่ง|noun,phrase
เขาดิน|proper noun
เข้าเฝ้าฯ|
